,episode,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0,1.0,0.06,-2.1839283430863342e-07,-9.703902263393067e-08,0.007953737858265334,6.2830465526540635,0.00018207538496639586,0.0,-1.9554169065766293e-05,-1.1432118377002175e-05,0.26510021586343424,-0.0073936546306496344,0.008501841187542254,0.0,486.5404997390976,487.17643877203136,486.36815481992596,485.8142367778258
1,1.0,0.12000000000000001,-7.794535927860736e-06,-5.669790298208815e-06,0.0278919359943018,6.28240546084011,0.00016316872675492533,0.0,-0.00027310897909694603,-0.0002313519125973426,0.3994682918992424,-0.018249279663240067,-0.03086294627265177,0.0,449.7444405773552,446.54528378955564,447.8232359321686,446.9396112290231
2,1.0,0.18,-2.0483139141602903e-05,-3.9343305375960995e-05,0.05470431613882371,6.28163543465266,6.281478619321954,0.0,3.852125743112581e-05,-0.0009836912276684675,0.4942407290142097,-0.003753976055043594,-0.031773736043632324,0.0,435.3380083414632,435.26144418365413,434.9390607079744,436.1512750657245
3,1.0,0.23999999999999996,2.1079935299752895e-05,-0.00012876155244761199,0.08575005054722036,6.281248772784092,6.279548938389274,0.0,0.0015272806131574768,-0.002025067742086275,0.5405954679885466,-0.012456415393725568,-0.03294790840475395,0.0,419.48174232382337,419.37933237402075,420.5493047122478,419.79506068755467
4,1.0,0.3,0.00020658485963478913,-0.00029902708688142506,0.12407337922783591,6.280066643496816,6.277874342583228,0.0,0.004866236350591972,-0.0037544970758126932,0.7367414917500886,-0.04096415081015017,-0.019371410762847034,0.0,467.1723727760198,468.22942388455647,466.8997992871576,464.6706298196616
5,1.0,0.36000000000000004,0.0006024735218164789,-0.0005913573753512945,0.16942575471586033,6.277778986725789,6.276318183603159,0.0,0.008451358058864699,-0.00620959509441063,0.7749773620278309,-0.03298627278026694,-0.044199434898465575,0.0,419.3587483724972,417.19653282296287,416.2060521299584,416.90277844240194
6,1.0,0.4200000000000001,0.0012732756733470434,-0.0010930073431244746,0.22061339461276805,6.275696162126955,6.274197237526547,0.0,0.014166546713209301,-0.010735188471601754,0.9311593564473103,-0.03841334436670119,-0.021824064443884888,0.0,454.0208944840849,455.81170077043106,455.3384491816386,454.9036526374078
7,1.0,0.48000000000000015,0.0023472736452150324,-0.0019288791657499319,0.28308020815061835,6.273599966386762,6.272690772528048,0.0,0.021798964591755288,-0.017388167227770625,1.1508686979785574,-0.028760907918440076,-0.03265104651150666,0.0,474.8597690029354,474.0285232000746,473.7235682028012,474.4646562903661
8,1.0,0.5400000000000001,0.003892009697882673,-0.0031873258095906436,0.3562750161166207,6.27245535184241,6.2704589650114,0.0,0.029913937039037428,-0.024707802574304574,1.288808468111106,-0.004582153652533328,-0.04833583070873643,0.0,451.1935124291853,449.92488430339995,448.71900860922256,450.67730912633755
9,1.0,0.6000000000000002,0.005939339287107749,-0.004874996379255334,0.43497452341407605,6.271837232319175,6.2673526623870774,0.0,0.03861082796923431,-0.031585884476629404,1.33445149913281,-0.025328099070407523,-0.05972075437023269,0.0,421.74987289587784,420.76355974870955,421.67080252274513,419.8750576084144
10,1.0,0.6600000000000003,0.008590301861510417,-0.007005970752705992,0.5176543513103761,6.27021669527306,6.2633192722802296,0.0,0.05012644367996419,-0.039602221433272196,1.4214296770089965,-0.030601899510538443,-0.08971401503174123,0.0,435.9692883101447,433.45234015240925,434.66477167650606,434.2224300133612
11,1.0,0.7200000000000003,0.011966183287163751,-0.00961718501652113,0.6029380666481362,6.268225741149916,6.25747395222254,0.0,0.06288531229659138,-0.047604484400760545,1.4213475021910846,-0.038919219434368234,-0.12095398197590256,0.0,407.9567516229834,405.14815547411047,405.8996445982898,405.152032468125
12,1.0,0.7800000000000004,0.016421448204486887,-0.012861481728602043,0.6957688039684349,6.265492051717668,6.250268664430749,0.0,0.08651387373512213,-0.060841871248096514,1.6726456703913681,-0.06414228535292864,-0.11841192543242117,0.0,484.5619385379907,484.74128848220374,485.4889088837253,483.5916801025052
13,1.0,0.8400000000000004,0.02237440682159228,-0.016921368313696544,0.8007203893529079,6.261873472758603,6.2428397251526935,0.0,0.11270463765128154,-0.07489184789633808,1.8254708213056317,-0.05357762342963244,-0.13771510594163935,0.0,457.9666640629009,456.4150781367192,454.87477701193876,455.71743153242863
14,1.0,0.9000000000000005,0.0300480848361291,-0.021891915001459875,0.9143615430092469,6.258689567731011,6.235244805118111,0.0,0.143920325247551,-0.09113102665506176,1.9622952080227536,-0.052059592454561376,-0.11050488126807684,0.0,450.87315864271005,453.0511829987062,451.8245795166531,451.9451443602865
15,1.0,0.9600000000000005,0.039701663768353775,-0.02787849501481995,1.0351316413383216,6.255816293091755,6.228258685384601,0.0,0.1785478051720928,-0.10872143941863595,2.0631508111174353,-0.0406348331408302,-0.13220733637680954,0.0,442.6174728424363,440.81527248445923,440.3831901837631,441.3256829864464
16,1.0,1.0200000000000005,0.05158473713792112,-0.03497864010365333,1.1619850727929142,6.253196831221215,6.22022478003432,0.0,0.2183597257164114,-0.12820135669919583,2.16504848045856,-0.050514924075699075,-0.13751111194939766,0.0,441.6895659749075,441.23527371255983,443.1693547166749,442.35543936849683
17,1.0,1.0800000000000005,0.06629167548505939,-0.04343054128548721,1.2990859900252825,6.250051084022724,6.212154219099759,0.0,0.27283988913185725,-0.15389041239969925,2.4044221784356083,-0.05656060851158455,-0.12910137365725066,0.0,482.6875626486271,483.30661813668337,485.39283815648884,484.9373988710743
18,1.0,1.1400000000000006,0.08422828852540003,-0.053392766350207066,1.447262794307715,6.2463291465171515,6.204385674773565,0.0,0.32585099191952577,-0.17854734752645943,2.5344389679577537,-0.07617583782032812,-0.13023436516843,0.0,452.92520581649217,452.81906855986364,453.1713950289964,451.5891309411246
19,1.0,1.2000000000000006,0.1056471015910205,-0.06498153389795422,1.6048895899600613,6.241914904664991,6.196641354297071,0.0,0.3889640937457551,-0.20823986342651185,2.7192563501011833,-0.06881472033588486,-0.12684538764284575,0.0,469.78100391196944,470.0294457941224,469.85399395331416,470.42041465925706
20,1.0,1.2600000000000007,0.1306384351781328,-0.07826428961554686,1.7691339411549547,6.2382566644009145,6.189127193882539,0.0,0.44476936262636446,-0.23486931476194117,2.7553726981262323,-0.04867041498965812,-0.1222002395828418,0.0,425.4191739275117,425.8016971942854,422.7416574436137,424.470893687304
21,1.0,1.3200000000000007,0.15928466193761195,-0.09328832830252261,1.9372778050880597,6.235748180177591,6.18221852712907,0.0,0.5107952654958207,-0.2661897869779088,2.8490883981380133,-0.03076001115584079,-0.1038503720267086,0.0,443.5088118750535,445.00131902980917,442.2258204852806,443.69763898149495
22,1.0,1.3800000000000008,0.19209144323486632,-0.11026811922857216,2.111639461254336,6.233909862590867,6.176649434867109,0.0,0.5833355686455902,-0.29997792077519747,2.96257969353275,-0.030396998752502374,-0.07684488402668457,0.0,449.36012005859607,451.53642972206416,450.5744210981044,450.60346941733866
23,1.0,1.4400000000000008,0.22914776640316692,-0.12921528336309623,2.2908161866972816,6.2318961889000395,6.172258728672739,0.0,0.652276892366346,-0.3317657758166599,3.0097717762709686,-0.040787998637622475,-0.0667059988916951,0.0,429.5325846435324,430.38717398186645,430.87959116824607,429.9997026437363
24,1.0,1.5000000000000009,0.27050675348972447,-0.15014974284338634,2.4735777882351484,6.22937377221602,6.168564626441402,0.0,0.7266992473009568,-0.3662804576056196,3.0820020435061513,-0.0446696652244072,-0.05288841439283793,0.0,438.316378204915,439.4603840722177,438.77169267749974,438.44832839161546
25,1.0,1.560000000000001,0.3158403823987113,-0.17294320579045624,2.6558318036966466,6.226766680797157,6.16519799097429,0.0,0.7846794759027338,-0.39370947678999185,2.9933061824469758,-0.04112090577067883,-0.0634882966222845,0.0,384.6764333544137,383.66858751313964,384.45795480498487,384.7926850909646
26,1.0,1.620000000000001,0.3651956803767506,-0.19765597224540468,2.836881585577313,6.223956468356212,6.161672164287198,0.0,0.8608124251322203,-0.4302856080167841,3.0414678037702094,-0.06184227586625445,-0.05068459569203067,0.0,430.9490203152346,432.02735964208387,431.8452056281972,430.09221451121846
27,1.0,1.680000000000001,0.4189994422249698,-0.22453244324399085,3.0193259866769635,6.219985492988037,6.158373561631464,0.0,0.9329046597880917,-0.4659276930060774,3.039927057539224,-0.07669839577657434,-0.06534900480893065,0.0,416.4727942334659,415.18580845903773,415.1971650549633,413.88798109945543
28,1.0,1.740000000000001,0.47778089102682414,-0.25392099285720277,3.2063630205677405,6.215777865592905,6.154657335227846,0.0,1.0268231450890044,-0.51414113143147,3.194081922694292,-0.059465513671142715,-0.05586565948173294,0.0,464.53053202473035,465.2709934031387,464.8869882028676,466.2317267977439
29,1.0,1.8000000000000012,0.5418805793890286,-0.2860858656119774,3.3996040584654748,6.211895466508169,6.151756792742436,0.0,1.1100856804055534,-0.5583597724108313,3.2470247209559138,-0.07806592661116235,-0.03644374510722195,0.0,434.45546350705246,436.0793023127775,434.88083916802515,433.31662226713155
30,1.0,1.8600000000000012,0.611350191495295,-0.3211598194632259,3.598458167916335,6.20704342977065,6.149746817060599,0.0,1.2057132441248015,-0.611250132541142,3.38092780134279,-0.08715453519177911,-0.028181319252465004,0.0,461.56366521279926,462.2148838309444,460.0010516013448,459.27566828345584
31,1.0,1.9200000000000013,0.686838214093233,-0.3596539122673625,3.8071329274020203,6.201801093317215,6.147702488870674,0.0,1.310655071762381,-0.6724425861366199,3.574157269380528,-0.08781104654000332,-0.04971471648751985,0.0,480.422087621297,478.7860581734217,479.7401795123799,479.6846164777061
32,1.0,1.9800000000000013,0.7686412683387756,-0.40192523026679333,4.027167839152913,6.196318439677103,6.14538040262514,0.0,1.416294685580895,-0.7371605985771983,3.7595650556649427,-0.09967853349619908,-0.0227422521559369,0.0,479.1374883998008,481.1830277400085,478.03702224793443,477.125351572441
33,1.0,2.0400000000000014,0.8560069219224276,-0.4476925016970019,4.2524372796499685,6.190036628343751,6.143896516890791,0.0,1.4959851865514926,-0.7889390164477834,3.749324261349441,-0.11731573863900946,-0.02903971212737181,0.0,419.80928465614903,419.26231230137375,418.81287549825544,417.2653382418143
34,1.0,2.1000000000000014,0.9488676113216136,-0.49714328980547606,4.4819813357374505,6.183456825294364,6.142024778339561,0.0,1.5994551380454691,-0.8601085737043905,3.901435967973306,-0.09760725094185106,-0.03589872067766458,0.0,471.26082199683634,470.73002794464674,469.7533532052707,471.26913248644433
35,1.0,2.1600000000000015,1.048506024055193,-0.5513825904442731,4.72434777281901,6.177696612687388,6.139397918260226,0.0,1.7219327297624427,-0.9485006916023899,4.176222468623279,-0.09297710800244567,-0.06827280969844297,0.0,508.4639680599902,506.1381382373478,508.0312071486794,508.3565082507873
36,1.0,2.2200000000000015,1.1549074064798417,-0.6105934409666575,4.978681474652472,6.171755832981415,6.135318309522358,0.0,1.8250988688265801,-1.0257360047949458,4.300848267460937,-0.11518161672846516,-0.06744086822294072,0.0,466.6073174436859,466.66903072891796,467.06120000648883,465.3178178258429
37,1.0,2.2800000000000016,1.2673323073817109,-0.6743837552654932,5.238818717912895,6.165539549199369,6.131306358843439,0.0,1.9227024662430645,-1.1011978949981185,4.369870407739776,-0.08705802078524887,-0.06574046167464562,0.0,450.42224668334813,450.5564862031351,449.73906658254685,452.001802676964
38,1.0,2.3400000000000016,1.3855998968096164,-0.7427524358128436,5.5025139207634775,6.160974697267667,6.127031932937559,0.0,2.019854809049208,-1.178180996621393,4.41953220307422,-0.06016452821541547,-0.08548029079560703,0.0,446.1208010597306,444.5018111033422,444.837334448193,447.0295454251946
39,1.0,2.4000000000000017,1.5105196740786901,-0.8163991986273849,5.773825923772387,6.157041834252276,6.121353363927149,0.0,2.1445650753937,-1.2770282658049084,4.623048356932833,-0.07938696582059805,-0.12803972129544758,0.0,494.41359584212717,491.259988249573,494.54031200751336,493.1194092271881
40,1.0,2.4600000000000017,1.6422438149796725,-0.8954447946202159,6.052375196634104,6.151974217594368,6.113598911173662,0.0,2.246877091127585,-1.3582354965172088,4.661415396181766,-0.09726140921670609,-0.13175563852229144,0.0,447.0892695060787,446.77116868638865,444.7369734960705,443.26428329203515
41,1.0,2.520000000000002,1.7795445775383218,-0.9789238932157744,6.329149454990946,6.146421350838079,6.105451030719951,0.0,2.330415712316123,-1.4248504374676816,4.5644859370405975,-0.08448676822389309,-0.1454308930731678,0.0,400.7869396542461,399.52237904248597,400.8977159392962,402.04867167326734
42,1.0,2.580000000000002,1.9231887570812527,-1.0673999590606897,6.606712009371545,6.141304979684801,6.096967209148087,0.0,2.458466187194243,-1.5247798340062335,4.686613845717311,-0.08689217499621202,-0.13435938980273354,0.0,472.5234801240172,473.358947870868,472.61135719556705,472.42039377997446
43,1.0,2.640000000000002,2.0738270898596944,-1.161334691385347,6.887062808375735,6.136298337927494,6.089202315325023,0.0,2.5634184505378053,-1.6067924876067703,4.658144223692773,-0.07731610047823849,-0.12101855749995503,0.0,426.6546588540597,427.77614491604976,425.5692659242133,426.38223057283653
44,1.0,2.700000000000002,2.2302590971722505,-1.2598084521608799,7.1625459647278635,6.132148607576806,6.081755215727675,0.0,2.6515154905557368,-1.6760290837883862,4.524875539127678,-0.05647977946629248,-0.13116964089859123,0.0,391.1199204177374,390.1567484480913,388.70820209268913,390.6517650223252
45,1.0,2.760000000000002,2.3931701362894167,-1.3632993674308242,7.435282524192615,6.1286534236358445,6.07373482586425,0.0,2.779465762669641,-1.773931435519129,4.5657238794683845,-0.06205729349000341,-0.13921351279950886,0.0,449.5404270184151,448.871736332835,450.26315126112786,449.8093087204074
46,1.0,2.820000000000002,2.5632093899122643,-1.4722321561747804,7.7072274022322595,6.124691247452651,6.065261281236394,0.0,2.8891277930253634,-1.8574764318450636,4.4989729421025935,-0.07549431954723589,-0.1455833545516682,0.0,415.2973653291844,414.7180124767383,415.4783689192506,414.29473635127533
47,1.0,2.880000000000002,2.741369928678013,-1.587251534602151,7.981398072999439,6.120104572270645,6.056509767830878,0.0,3.0502462810035764,-1.9768446619928688,4.638828241302492,-0.07841507550651618,-0.1464140464678975,0.0,482.67487748686415,482.5941098950212,482.00812829283757,481.78319477293815
48,1.0,2.940000000000002,2.929403159510215,-1.7095501060276734,8.263996965751224,6.115183758913313,6.047472632343744,0.0,3.218208839118622,-2.100127851222713,4.779830478493431,-0.09040303128147432,-0.16072298210181224,0.0,486.0690413261609,484.9759321409516,485.18608569974805,484.28017553866005
49,1.0,3.000000000000002,3.127545745064382,-1.8392442934545796,8.554335660002724,6.109598467121385,6.037433647560604,0.0,3.387290385105758,-2.223420591500102,4.896834279306716,-0.0990819877251611,-0.18566338175486916,0.0,481.8597366496095,479.9452409633467,480.6120638512819,479.94705206658375
50,1.0,3.0600000000000023,3.335124234348767,-1.9758236402982152,8.848042762069579,6.103616295860128,6.026339187221154,0.0,3.532813607777909,-2.3296703952811644,4.892681772020449,-0.10097339621433221,-0.18343976460509043,0.0,445.34274988972896,445.4915597917878,444.587818009598,444.42422530325945
51,1.0,3.1200000000000023,3.553890303086062,-2.1204231707886265,9.149868516244204,6.098057178656106,6.015293179860912,0.0,3.7602428679168347,-2.49067933090231,5.165767514983765,-0.07976699740563521,-0.1854525393533644,0.0,530.6831902898188,530.5181733561008,529.4343010214953,530.8856500002837
52,1.0,3.1800000000000024,3.7840047117885227,-2.2730958238221346,9.45882832374419,6.09321742912563,6.004420189815081,0.0,3.9110057351908853,-2.598754867517238,5.132270585058127,-0.08251527663431692,-0.1738734963475281,0.0,441.42911762567996,442.3517281309691,441.8625593116489,441.6305912589692
53,1.0,3.2400000000000024,4.023502546994366,-2.4324498653705855,9.766304048992659,6.088258676724598,5.996118231830302,0.0,4.072827723284775,-2.713404622447169,5.116218578396145,-0.08290818515868298,-0.10590519811848122,0.0,446.1026287757211,451.5982606147825,449.19666157314117,449.15931803017503
54,1.0,3.3000000000000025,4.272817353071302,-2.598767519263337,10.072735168301989,6.083261121231342,5.9902253284371465,0.0,4.237966276859705,-2.8308966631366697,5.097540853039711,-0.08407219257118147,-0.08611047217957633,0.0,448.70743315766055,450.3035275865473,449.7173578877806,449.61747531816775
55,1.0,3.3600000000000025,4.532439781624429,-2.77244099038943,10.379046766152436,6.078224262163467,5.98531260248572,0.0,4.416270433542566,-2.958592964794494,5.112041067950571,-0.08369988542193886,-0.07453656382574368,0.0,460.5800412373755,461.4894819376003,462.5712149120899,462.59508345962706
56,1.0,3.4200000000000026,4.803436772336438,-2.9542837618827926,10.688133937906937,6.072873212475329,5.980772188281177,0.0,4.616975487572333,-3.103183630343237,5.189648559281064,-0.10336665398702163,-0.07804904906748843,0.0,483.56591692246747,483.29718828098294,484.4458286530122,482.9583164207985
57,1.0,3.4800000000000026,5.08611514012697,-3.144634224028384,11.000492712779236,6.068109034059116,5.976194970515774,0.0,4.805692874792699,-3.2422082771762133,5.221330547553543,-0.052803544501220365,-0.07297897390334175,0.0,471.33315799236806,471.72069103502804,469.9109013172901,473.80931570802863
58,1.0,3.5400000000000027,5.379981580999182,-3.3432886132812065,11.314118719892189,6.065623846086686,5.971667039264563,0.0,4.989908056418413,-3.3797872895456322,5.232075775301071,-0.025068125492411216,-0.08096732347470761,0.0,466.4471935752974,465.81856036101385,466.7386453496243,468.8977935590176
59,1.0,3.6000000000000028,5.683971361393557,-3.5495947754253088,11.62538060557931,6.063622176588325,5.966699522141276,0.0,5.143297302683844,-3.497291298847498,5.143164666734019,-0.060265516718301756,-0.08671393000324881,0.0,435.16809241289917,434.68089544993956,437.14338133871627,434.19890497351645
60,1.0,3.660000000000003,5.998680111220127,-3.7639820181353127,11.935642183719064,6.059766566729792,5.961480372455341,0.0,5.347019990755635,-3.6491625106529417,5.197685048947751,-0.07376344861133917,-0.08753487116646504,0.0,483.2686404521564,483.20115073680466,483.5474857657129,482.52660515612814
61,1.0,3.720000000000003,6.324258627577741,-3.9866264376961587,12.244970805355724,6.055504017320139,5.956334386704114,0.0,5.50578896172474,-3.772700633360126,5.112948030231019,-0.06609356544194088,-0.08244750201159176,0.0,438.7044518931175,439.1206242986891,440.59641660162015,441.2263264651282
62,1.0,3.780000000000003,6.6597522925483,-4.2169938071193895,12.550161386750709,6.051643177302433,5.951029133168582,0.0,5.677456247308916,-3.906539318618255,5.059530786231736,-0.06106702621266262,-0.10435793735024336,0.0,452.58717142998717,450.8131065144199,450.82435593560314,451.2274615438886
63,1.0,3.840000000000003,7.007282389662409,-4.456589651827334,12.856829566337282,6.0482005794119225,5.945753837464764,0.0,5.906806513719875,-4.080115874910022,5.161079703333656,-0.05086584069419608,-0.06681342122025453,0.0,501.446402236405,504.16094029712633,501.4609218897126,502.19969975248125
64,1.0,3.900000000000003,7.367529249080417,-4.705951797659517,13.166465666576658,6.045632431378738,5.9417391142758476,0.0,6.101327874877719,-4.232154341714348,5.159252793239804,-0.030228811149651712,-0.06710995162355331,0.0,472.8224543332228,472.7965568940438,472.70763913438844,474.294715337881
65,1.0,3.960000000000003,7.739902437124579,-4.964784186607302,13.47711368514461,6.04327252993034,5.93751089074124,0.0,6.3109407469433725,-4.395674226192766,5.194542695059216,-0.07223023310494671,-0.07821504105493565,0.0,487.9615606882168,487.1282575893592,487.7860729802389,484.63741719367704
66,1.0,4.020000000000002,8.122882285568114,-5.232179533519971,13.784426498515002,6.039038886679387,5.932790034555277,0.0,6.455239115365457,-4.517969148013443,5.049232578923421,-0.0674165193528677,-0.07962880930540195,0.0,429.372470504029,429.2472893182229,428.0118505515862,428.41745802221027
67,1.0,4.080000000000001,8.514429853802385,-5.50692197275153,14.08268577255802,6.035069375393794,5.927987312107467,0.0,6.596544505812805,-4.640581199808665,4.892818142140229,-0.06375543795029981,-0.0808912618516387,0.0,425.0160331643593,424.9023100016235,424.34053848406705,424.6513343700317
68,1.0,4.14,8.915770778267033,-5.789960286372078,14.374897560405229,6.030839586493553,5.923167572600713,0.0,6.781463079075349,-4.794367035981966,4.846817335220692,-0.08948662865277279,-0.07922818670982693,0.0,462.8681887341328,462.99418186556613,464.38867878311106,462.36142679553836
69,1.0,4.199999999999998,9.327731685988443,-6.081991104182706,14.662991143492578,6.025749836603417,5.918642968121098,0.0,6.950587851094898,-4.940468926318098,4.755802764839937,-0.07685044908717797,-0.06870136904789173,0.0,449.23903752971927,450.08763622420986,449.0401870718404,450.058529598289
70,1.0,4.259999999999997,9.750670357421102,-6.383436659249969,14.947624816988608,6.020702594746085,5.914525956742814,0.0,7.147190479336643,-5.108095634660144,4.731010000777537,-0.10547771410823206,-0.06844845062316957,0.0,473.63666692322334,473.65288948182894,473.63627457220093,471.42302379949575
71,1.0,4.319999999999996,10.18393697676238,-6.694062809467491,15.227000979688775,6.014245441104283,5.910565458350881,0.0,7.295088978306933,-5.246731899657457,4.58138801288735,-0.11228440634413989,-0.06152926876040198,0.0,432.62544677301224,433.2044784616809,431.9178743765183,431.33263883052024
72,1.0,4.379999999999995,10.62804150896795,-7.014468111703322,15.502180687547757,6.007271480163158,5.90677123584395,0.0,7.50804672897946,-5.433938855514303,4.589882917390227,-0.12559798601951203,-0.06689044943869422,0.0,486.6106536408747,486.20650525915676,487.4641762347422,486.4570552208124
73,1.0,4.439999999999993,11.08282575735029,-7.34480786070158,15.772661364868917,5.999255778218304,5.902864242472811,0.0,7.6514741834074815,-5.5781021886920135,4.425981867654137,-0.15868992032788198,-0.0617874379506479,0.0,430.7917756531882,431.2199427084632,431.76838972510967,428.94832874545995
