,episode,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
0,1.0,0.06,-1.2387798246693779e-09,6.008391720514988e-09,0.9824372763367134,0.0009523874947667821,0.00027967405428253045,0.0,-1.0519590460805227e-07,4.4525799214792644e-07,-0.5855235049801017,0.036509108402365986,0.012647246299323225,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-inf
1,1.0,0.12000000000000001,-2.6622125161017306e-08,9.607395638246225e-08,0.9296999401048305,0.004082363100620157,0.0013067403447228898,0.0,-6.83844411752345e-07,2.340922780414546e-06,-1.1727860632876448,0.07260970223770873,0.024819706578108273,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-inf
2,1.0,0.18,3.570370151484543e-08,-8.575909022413626e-08,0.8416170379064363,0.009296647327836638,0.0030349211718263547,0.0,4.694370576202761e-06,-1.4372588396739203e-05,-1.7640132520138831,0.10612017622379714,0.03576618728069251,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-inf
3,1.0,0.23999999999999996,1.1492284527397973e-06,-3.5128791708227327e-06,0.7178828403604648,0.01637568703615422,0.005375691022869056,0.0,3.9218768342674264e-05,-0.00012076078340408458,-2.36147633899723,0.13482532934894573,0.044818363418565016,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-inf
4,1.0,0.3,6.364901266267853e-06,-1.9583300350142918e-05,0.5580545527098041,0.02499179586931266,0.008206260186912395,0.0,0.00015017588588559926,-0.0004630376815311853,-2.967477025703315,0.15702800570322203,0.05151379866337391,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-inf
5,1.0,0.36000000000000004,2.2407905053390546e-05,-6.915600867102318e-05,0.36155036257027356,0.034745955943416895,0.011383448724123113,0.0,0.0004132143891454955,-0.0012790370182655904,-3.5843515853171053,0.17181549498776852,0.0556835881736721,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-inf
6,1.0,0.4200000000000001,6.141639033541882e-05,-0.000190289360095743,0.1276472965830788,0.04521496451204321,0.014762421665222014,0.0,0.0009331647345047938,-0.0029050186937997586,-4.214473374423284,0.17934011189254628,0.05755034720756826,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-inf
7,1.0,0.48000000000000015,0.00014264009170903279,-0.0004441000142530026,0.0,0.05601148516421084,0.018221250836504055,0.0,0.0018420717960209343,-0.005773153897072253,-4.860255061540909,0.18111807632217486,0.0578392346580522,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-5.455340990007638
8,2.0,0.06,-1.2293589152988693e-09,5.962406858697199e-09,0.9824369969831711,0.0009491266297478873,0.00027868562025457067,0.0,-1.0442906386795596e-07,4.4197993093705164e-07,-0.5855328196781434,0.036407699760174175,0.012606423286849903,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-5.455340990007638
9,2.0,0.12000000000000001,-2.637960461460333e-08,9.522395841461428e-08,0.9296988231536332,0.0040698218619956705,0.001302356689222961,0.0,-6.758031260432999e-07,2.314389019575043e-06,-1.1728046809232486,0.07240851185448123,0.024739568087212883,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-5.455340990007638
10,2.0,0.18,3.6507259294088453e-08,-8.853299053270412e-08,0.8416145383416702,0.009269155552672714,0.003024882968580833,0.0,4.700802659260723e-06,-1.4398876507294749e-05,-1.7640407434371355,0.10582663174547381,0.035650271018686355,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-5.455340990007638
11,2.0,0.23999999999999996,1.1484942560356944e-06,-3.5121440974379635e-06,0.7178784533265177,0.016328243405033582,0.005357996238645413,0.0,3.914158171786056e-05,-0.00012056510599967816,-2.3615117957798213,0.1344527122280957,0.04467197540474304,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-5.455340990007638
12,2.0,0.3,6.351313381934165e-06,-1.954867592294093e-05,0.5580478387297342,0.024920312757432228,0.008179253153902444,0.0,0.00014977676341702763,-0.0004619743684614996,-2.9675191813923725,0.1565940400015989,0.051343628939858305,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-5.455340990007638
13,2.0,0.36000000000000004,2.234866646828158e-05,-6.899875454406207e-05,0.3615409630573288,0.03464740192112448,0.01134588325064545,0.0,0.0004120008228998912,-0.0012757647752222204,-3.5843990198958933,0.17134014523701796,0.05549714785813988,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-5.455340990007638
14,2.0,0.4200000000000001,6.123899653066658e-05,-0.0001898121641764009,0.12763493302473206,0.045087400160978675,0.014713489071059627,0.0,0.0009302906410708486,-0.0028972159973420803,-4.2145248555276895,0.1788430567343091,0.057355152108100015,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-5.455340990007638
15,2.0,0.48000000000000015,0.00014220841870509932,-0.00044293016383705483,0.0,0.05585396917170815,0.018160558404748173,0.0,0.0018362485349208272,-0.005757252874353399,-4.860309972812578,0.18061480098527047,0.057641648202315994,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-5.455344925929263
16,3.0,0.06,-1.2439515437785886e-09,6.032542909816063e-09,0.9824373988752044,0.0009542897390373284,0.0002802937581467546,0.0,-1.0561311421099532e-07,4.4696654208028765e-07,-0.5855194191432819,0.03656821652582665,0.012672828583134768,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-5.455344925929263
17,3.0,0.12000000000000001,-2.674847844515287e-08,9.650259135276674e-08,0.9297004330197381,0.004089627215404512,0.00130946939439891,0.0,-6.878974895138559e-07,2.353946258044744e-06,-1.1727777977655742,0.07272544433130408,0.024869154376403833,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-5.455344925929263
18,3.0,0.18,3.5353404980849365e-08,-8.451273059635814e-08,0.8416181480469611,0.009312423336113262,0.003041092081410568,0.0,4.693908903039014e-06,-1.4365617086492237e-05,-1.7640009334128726,0.10628615602223296,0.03583570860499638,0.0,432.22452516170324,429.9889051532118,430.6970266920337,432.3471145565065,-5.455344925929263
