,episode,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
0,1.0,0.19999999999999998,-2.867215048280524e-05,-0.00025858562488056535,100.07863463655289,6.274646972518209,0.0008636978270493145,0.0,-0.0006346447275064918,-0.005998223010227292,0.7853964280397827,-0.10041596041607506,0.009547040376348617,0.0,478.23951702063647,478.45751218338944,479.09778322006343,476.8003360874654,0.7626562770879718
1,1.0,0.4000000000000001,-0.00040367854106351434,-0.004677951235021116,100.27186684855398,6.257832628420587,6.283047531221483,0.0,-0.0028570791307543746,-0.044755831731641924,1.1456941034918122,-0.06484160866085185,-0.023400743146995303,0.0,440.42082609641324,439.6026690749295,440.26558037224567,441.1415829216208,7.223698754762918
2,1.0,0.6000000000000002,-0.0007620416797302211,-0.02129798290413379,100.5598519456116,6.235571386998085,0.00027674653487963496,0.0,-0.0006712186825267404,-0.13024834220634982,1.7311363196858045,-0.17460344938669586,0.031530715500348985,0.0,461.30651860341635,462.60585537974634,463.7925127253914,461.1870977981273,22.063193029177743
3,1.0,0.8000000000000004,-0.001487773261039399,-0.0635928230133858,100.99173219872698,6.2004380909734795,0.006794206155638527,0.0,-0.009585485523138624,-0.30861113355641,2.580667265180648,-0.1769624868809957,0.03387480560689018,0.0,488.7959327211191,488.84863085961246,487.0706531240261,486.99096207894337,46.905789977467784
4,1.0,1.0000000000000004,-0.005824292703200915,-0.15346302336663722,101.61455514508866,6.166268641051751,0.0067209652634812045,0.0,-0.034058719254989364,-0.6061079595772876,3.635039365053913,-0.16350871298281638,-0.04573281060294371,0.0,511.63367879724876,509.9304891209137,508.9044128339389,509.16926739209003,79.97993151884171
5,1.0,1.2000000000000006,-0.013555500623338634,-0.29971974280420716,102.34388595611419,6.140625853429082,0.0014433366526125369,0.0,-0.041371093143932273,-0.865058400620257,3.656416902830769,-0.08836023599125331,-0.0037360214579200707,0.0,420.55477958411996,421.64434734649757,420.81619168193447,422.7464494013521,117.68779746419908
6,1.0,1.4000000000000008,-0.02220267419739232,-0.5111469203859509,103.13926331274865,6.13331336376206,0.0022193813830773124,0.0,-0.04534916081810426,-1.2516529302129087,4.28786396232163,0.020153014159393336,0.013034556863073973,0.0,481.05370060074506,481.43449207483616,479.95134433405593,482.4142835480549,157.10883570313092
7,1.0,1.600000000000001,-0.03193577441613778,-0.7981561600862968,104.04295834608912,6.131796880598351,0.0026421257601683124,0.0,-0.05223132371068732,-1.617960133166013,4.741441913779507,-0.043746961832953415,-0.011572832618153329,0.0,470.10027516789256,469.52782054258586,471.02904590813733,469.543965480619,196.96938834663203
8,1.0,1.8000000000000012,-0.04285386778707556,-1.157512224564977,105.02206584226181,6.117918702885476,0.0008677688676383966,0.0,-0.05624593780903214,-1.979961976280457,5.042766620986764,-0.10260055366750896,-0.005590199604609944,0.0,460.6862592920364,460.82829317201157,460.5672196885419,459.1645745045704,236.36202050897188
9,1.0,2.0000000000000013,-0.054325642401975294,-1.601727597541428,106.10949158531362,6.095690166890773,0.0017496461725556856,0.0,-0.058758160789765514,-2.469706136335839,5.813729807269582,-0.12175571268397606,0.01636555886690079,0.0,506.7550029063625,507.2282648424652,508.14199363643223,507.7205237991424,275.37667807107044
10,1.0,2.2000000000000015,-0.06684174948261185,-2.147174194714009,107.33182796375104,6.062948254100199,0.00709807699689069,0.0,-0.0685336011123392,-2.9954264608298447,6.391912676926946,-0.22011241837615347,0.039131125968379726,0.0,499.63215000032005,500.13003765699904,501.7888651621129,499.61804264236577,314.19449015114935
11,1.0,2.4000000000000017,-0.08188055118948612,-2.782222781083916,108.56127533472444,6.024580766998145,0.010137862991136615,0.0,-0.08281921700308155,-3.3667017919306503,5.906885554033735,-0.15950134255489296,-0.015717793066949252,0.0,405.5553665403157,404.0744522577053,403.80831535984186,405.40525477198634,352.62947648180034
12,1.0,2.600000000000002,-0.10067730730036425,-3.52178868741426,109.78309700431359,6.000461541738613,0.005604563509125526,0.0,-0.1032748879850372,-4.036065707147272,6.295414596865014,-0.07697837913023431,-0.03129122448801554,0.0,492.31683506563144,491.97095385776714,490.00763754718923,491.83248815795224,391.9745782825963
13,1.0,2.800000000000002,-0.1221111734596186,-4.378153955048158,111.00469553911755,5.990203588489596,0.006107505605339902,0.0,-0.11102691449637056,-4.533353420590943,5.923389421795899,-0.02163210773867913,0.04093157986513235,0.0,422.97297037785114,424.8354163726269,422.73739654701086,424.16396306158373,431.88916187217626
14,1.0,3.000000000000002,-0.14627261272250291,-5.352837365036438,112.20603656933994,5.991978068539229,0.016900208219790436,0.0,-0.13435876146440748,-5.2132925741041065,6.081663665720841,0.043776418887850235,0.0694207016456481,0.0,474.96577081188093,475.62273202138607,476.47045571193337,477.96872418598633,472.81970469012697
15,1.0,3.2000000000000024,-0.17651384861676342,-6.446893648426978,113.38059435941757,6.002836246217132,0.029398035556813973,0.0,-0.17161587141314527,-5.729909404002829,5.670134745574656,0.06683014660553381,0.053896547768870824,0.0,421.67645340218974,421.2768837463011,422.26190599946716,422.86045473167275,513.3463902916494
16,1.0,3.4000000000000026,-0.21616034184950333,-7.64443299962163,114.47145012961404,6.010076100010167,0.044183601028869646,0.0,-0.22892525726227045,-6.2493307040197585,5.2442943447182415,-0.003996808157573265,0.0973181727533193,0.0,416.20269147809086,417.34633115165633,417.41366171885755,415.5557977752978,551.9132862827552
